quarter,FOUND,FIXED
2018-Jul-02,5,0
2018-Jul-03,7,0
2018-Jul-04,15,0
2018-Jul-05,16,0
2018-Jul-06,18,0
2018-Jul-09,2,1
2018-Jul-10,16,1
2018-Jul-11,2,1
2018-Jul-12,4,2
2018-Jul-13,6,5
2018-Jul-16,3,2
2018-Jul-17,10,0
2018-Jul-18,8,0
2018-Jul-19,15,4
2018-Jul-20,4,2
2018-Jul-23,9,2
2018-Jul-24,5,9
2018-Jul-25,17,2
2018-Jul-26,9,5
2018-Jul-27,13,2
2018-Jul-28,1,0
2018-Jul-30,6,5
2018-Jul-31,7,3
2018-Aug-01,10,3
2018-Aug-02,11,0
2018-Aug-03,10,14
2018-Aug-06,10,9
2018-Aug-07,11,52
2018-Aug-08,4,13
2018-Aug-09,18,8
2018-Aug-10,9,12
2018-Aug-13,9,2
2018-Aug-14,11,18
2018-Aug-15,19,3
2018-Aug-16,5,5
2018-Aug-17,6,3
2018-Aug-20,9,9
2018-Aug-21,7,1
2018-Aug-22,6,1
2018-Aug-23,8,4
2018-Aug-24,8,18
2018-Aug-27,5,3
2018-Aug-28,17,4
2018-Aug-29,12,6
2018-Aug-30,15,31
2018-Aug-31,9,33
2018-Sep-03,6,3
2018-Sep-04,4,9
2018-Sep-05,2,4
2018-Sep-06,6,3
2018-Sep-07,7,2
2018-Sep-10,7,28
2018-Sep-11,2,5
2018-Sep-12,3,1
2018-Sep-13,2,1
2018-Sep-14,5,18
2018-Sep-17,3,2
2018-Sep-18,3,2
2018-Sep-19,2,0
2018-Sep-20,3,4
2018-Sep-21,6,33
2018-Sep-24,7,3
2018-Sep-25,5,4
2018-Sep-26,6,1
2018-Sep-27,7,5
2018-Sep-28,11,6
2018-Oct-01,10,14
2018-Oct-02,10,0
2018-Oct-03,12,11
2018-Oct-04,15,4
2018-Oct-05,6,0
